10-Jun-16,,,,,,,,,,,
iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,
Fund Holdings as of,10-Jun-16,,,,,,,,,,
Total Net Assets,"$18,274,675,549 ",,,,,,,,,,
Number of Securities,606,,,,,,,,,,
Shares Outstanding,"156,050,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
LXP,LEXINGTON REALTY TRUST REIT,Equity,0.33,9.76,"6,153,182.00","60,055,056.32","60,055,056.32",Financials,"2,139,151.00",US5290431015,New York Stock Exchange Inc.
LGND,LIGAND PHARMACEUTICALS INC.,Equity,0.33,113.74,"527,097.00","59,952,012.78","59,952,012.78",Health Care,"2,501,578.00",US53220K5048,NASDAQ
CRZO,CARRIZO OIL AND GAS INC,Equity,0.33,37.74,"1,577,005.00","59,516,168.70","59,516,168.70",Energy,"2,092,801.00",US1445771033,NASDAQ
GBCI,GLACIER BANCORP INC.,Equity,0.32,26.84,"2,211,591.00","59,359,102.44","59,359,102.44",Financials,"2,370,585.00",US37637Q1058,NASDAQ
PSB,PS BUSINESS PARKS REIT INC,Equity,0.32,103.48,"565,704.00","58,539,049.92","58,539,049.92",Financials,"2,707,956.00",US69360J1079,New York Stock Exchange Inc.
EVR,EVERCORE PARTNERS INC. CL A,Equity,0.32,49.94,"1,154,652.00","57,663,320.88","57,663,320.88",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
NEOG,NEOGEN CORP.,Equity,0.31,52.59,"1,088,225.00","57,229,752.75","57,229,752.75",Health Care,"2,630,085.00",US6404911066,NASDAQ
MNRO,MONRO MUFFLER BRAKE INC.,Equity,0.31,60.96,"935,710.00","57,040,881.60","57,040,881.60",Consumer Discretionary,"2,600,088.00",US6102361010,NASDAQ
STL,STERLING BAN,Equity,0.31,16.33,"3,489,327.00","56,980,709.91","56,980,709.91",Financials,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
WWW,WOLVERINE WORLD WIDE INC.,Equity,0.31,19.53,"2,903,042.00","56,696,410.26","56,696,410.26",Consumer Discretionary,"2,977,500.00",US9780971035,New York Stock Exchange Inc.
ALGT,ALLEGIANT TRAVEL CO.,Equity,0.31,148.67,"380,816.00","56,615,914.72","56,615,914.72",Industrials,B15M2C3,US01748X1028,NASDAQ
GWB,GREAT WESTERN BANCORP INC,Equity,0.31,33.08,"1,705,006.00","56,401,598.48","56,401,598.48",Financials,BRHZ1X6,US3914161043,New York Stock Exchange Inc.
HI,HILLENBRAND INC.,Equity,0.31,30.76,"1,831,159.00","56,326,450.84","56,326,450.84",Industrials,B2QGDP1,US4315711089,New York Stock Exchange Inc.
BCPC,BALCHEM CORP.,Equity,0.31,61.43,"916,538.00","56,302,929.34","56,302,929.34",Materials,"2,072,074.00",US0576652004,NASDAQ
DW,DREW INDUSTRIES INC.,Equity,0.31,79,"708,558.00","55,976,082.00","55,976,082.00",Consumer Discretionary,"2,280,695.00",US26168L2051,New York Stock Exchange Inc.
AHS,AMN HEALTHCARE SERVICES INC.,Equity,0.3,39.97,"1,389,506.00","55,538,554.82","55,538,554.82",Health Care,"2,813,552.00",US0017441017,New York Stock Exchange Inc.
HA,HAWAIIAN HOLDINGS INC.,Equity,0.3,39.97,"1,381,354.00","55,212,719.38","55,212,719.38",Industrials,"2,408,044.00",US4198791018,NASDAQ
SHOO,STEVEN MADDEN LTD.,Equity,0.3,34.1,"1,616,366.00","55,118,080.60","55,118,080.60",Consumer Discretionary,"2,553,911.00",US5562691080,NASDAQ
EE,EL PASO ELECTRIC CO.,Equity,0.3,46.3,"1,176,445.00","54,469,403.50","54,469,403.50",Utilities,"2,851,808.00",US2836778546,New York Stock Exchange Inc.
LTC,LTC PROPERTIES INC.,Equity,0.29,49.29,"1,090,264.00","53,739,112.56","53,739,112.56",Financials,"2,498,788.00",US5021751020,New York Stock Exchange Inc.
MLI,MUELLER INDUSTRIES INC.,Equity,0.29,32.07,"1,661,157.00","53,273,304.99","53,273,304.99",Industrials,"2,609,717.00",US6247561029,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP.,Equity,0.29,62.46,"849,628.00","53,067,764.88","53,067,764.88",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
CATM,CARDTRONICS INC.,Equity,0.29,40.27,"1,313,335.00","52,888,000.45","52,888,000.45",Information Technology,B00K2K3,US14161H1086,NASDAQ
MATW,MATTHEWS INTERNATIONAL CORP. CL A,Equity,0.29,55.07,"959,446.00","52,836,691.22","52,836,691.22",Industrials,"2,568,090.00",US5771281012,NASDAQ
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Equity,0.29,46.3,"1,140,875.00","52,822,512.50","52,822,512.50",Industrials,"2,086,309.00",US03820C1053,New York Stock Exchange Inc.
CBU,COMMUNITY BANK SYSTEM INC.,Equity,0.29,41.25,"1,275,149.00","52,599,896.25","52,599,896.25",Financials,"2,222,062.00",US2036071064,New York Stock Exchange Inc.
PZZA,PAPA JOHNS INTERNATIONAL INC.,Equity,0.29,64.56,"811,483.00","52,389,342.48","52,389,342.48",Consumer Discretionary,"2,696,117.00",US6988131024,NASDAQ
DRH,DIAMONDROCK HOSPITALITY CO.,Equity,0.29,8.97,"5,833,972.00","52,330,728.84","52,330,728.84",Financials,B090B96,US2527843013,New York Stock Exchange Inc.
GCI,GANNETT INC,Equity,0.28,15.42,"3,373,605.00","52,020,989.10","52,020,989.10",Consumer Discretionary,BZ0P429,US36473H1041,New York Stock Exchange Inc.
TTEK,TETRA TECH INC.,Equity,0.28,30.47,"1,703,582.00","51,908,143.54","51,908,143.54",Industrials,"2,883,890.00",US88162G1031,NASDAQ
UNF,UNIFIRST CORP.,Equity,0.28,116.66,"443,806.00","51,774,407.96","51,774,407.96",Industrials,"2,466,428.00",US9047081040,New York Stock Exchange Inc.
MOG.A,MOOG INC. CL A,Equity,0.28,53.27,"969,692.00","51,655,492.84","51,655,492.84",Industrials,"2,601,218.00",US6153942023,New York Stock Exchange Inc.
ASGN,ON ASSIGNMENT INC.,Equity,0.28,36.98,"1,391,500.00","51,457,670.00","51,457,670.00",Industrials,"2,658,720.00",US6821591087,New York Stock Exchange Inc.
MSTR,MICROSTRATEGY INC.,Equity,0.28,187.76,"272,217.00","51,111,463.92","51,111,463.92",Information Technology,"2,974,329.00",US5949724083,NASDAQ
PNFP,PINNACLE FINANCIAL PARTNERS INC.,Equity,0.28,49.61,"1,025,766.00","50,888,251.26","50,888,251.26",Financials,"2,675,097.00",US72346Q1040,NASDAQ
B,BARNES GROUP INC.,Equity,0.28,34.52,"1,472,343.00","50,825,280.36","50,825,280.36",Industrials,"2,080,732.00",US0678061096,New York Stock Exchange Inc.
ONB,OLD NATIONAL BANCORP,Equity,0.28,12.92,"3,916,353.00","50,599,280.76","50,599,280.76",Financials,"2,658,441.00",US6800331075,NASDAQ
UFPI,UNIVERSAL FOREST PRODUCTS INC.,Equity,0.28,86.29,"585,336.00","50,508,643.44","50,508,643.44",Industrials,"2,906,496.00",US9135431040,NASDAQ
