09-Jun-2016,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,
Total Net Assets,"$73,983,668,859",,,,,,,,,,
Number of Securities,509,,,,,,,,,,
Shares Outstanding,"347,150,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
QCOM,QUALCOMM INC,Equity,0.44,54.98,"5,985,400.00","329,077,292.00","329,077,292.00",Information Technology,"2,714,923.00",US7475251036,NASDAQ
SBUX,STARBUCKS CORP,Equity,0.44,55.58,"5,918,178.00","328,932,333.24","328,932,333.24",Consumer Discretionary,"2,842,255.00",US8552441094,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.43,102.32,"3,114,580.00","318,683,825.60","318,683,825.60",Industrials,"2,915,500.00",US9130171096,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.41,89.39,"3,388,957.00","302,938,866.23","302,938,866.23",Industrials,"2,914,734.00",US9078181081,New York Stock Exchange Inc.
ACN,ACCENTURE PLC,Equity,0.41,119.44,"2,514,107.00","300,284,940.08","300,284,940.08",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.40,54.94,"5,404,851.00","296,942,513.94","296,942,513.94",Consumer Discretionary,"2,640,147.00",US6541061031,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.39,104.97,"2,763,417.00","290,075,882.49","290,075,882.49",Industrials,"2,517,382.00",US9113121068,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.39,74.43,"3,897,241.00","290,071,647.63","290,071,647.63",Health Care,"2,516,152.00",US5324571083,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.39,78.67,"3,664,001.00","288,246,958.67","288,246,958.67",Consumer Discretionary,"2,536,763.00",US5486611073,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.38,45.22,"6,281,559.00","284,052,097.98","284,052,097.98",Consumer Staples,B8CKK03,US6092071058,NASDAQ
USB,US BANCORP,Equity,0.38,42.54,"6,538,684.00","278,155,617.36","278,155,617.36",Financials,"2,736,035.00",US9029733048,New York Stock Exchange Inc.
WBA,WALGREEN BOOTS ALLIANCE,Equity,0.37,79.01,"3,455,361.00","273,008,072.61","273,008,072.61",Consumer Staples,BTN1Y44,US9314271084,NASDAQ
COST,COSTCO WHOLESALE CORP,Equity,0.37,154.05,"1,760,831.00","271,256,015.55","271,256,015.55",Consumer Staples,"2,701,271.00",US22160K1051,NASDAQ
PCLN,PRICELINE GROUP INC/THE,Equity,0.36,"1,340.07","198,671.00","266,233,046.97","266,233,046.97",Consumer Discretionary,"2,779,063.00",US7415034039,NASDAQ
CL,COLGATE-PALMOLIVE,Equity,0.35,72.34,"3,574,433.00","258,574,483.22","258,574,483.22",Consumer Staples,"2,209,106.00",US1941621039,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.35,56.10,"4,602,272.00","258,187,459.20","258,187,459.20",Financials,"2,027,342.00",US0268747849,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.34,240.67,"1,051,909.00","253,162,939.03","253,162,939.03",Industrials,"2,522,096.00",US5398301094,New York Stock Exchange Inc.
